NewIN124715	Station:  LAFAYETTE 5 S IN	CLIGEN VER. 5.30000	ObservedYears:40	SIMULATEDYears:50	DataUnits:mm
CNvalue	CN000	CN030	CN031	CN032	CN033	CN034	CN035	CN036	CN037	CN038	CN039	CN040	CN041	CN042	CN043	CN044	CN045	CN046	CN047	CN048	CN049	CN050	CN051	CN052	CN053	CN054	CN055	CN056	CN057	CN058	CN059	CN060	CN061	CN062	CN063	CN064	CN065	CN066	CN067	CN068	CN069	CN070	CN071	CN072	CN073	CN074	CN075	CN076	CN077	CN078	CN079	CN080	CN081	CN082	CN083	CN084	CN085	CN086	CN087	CN088	CN089	CN090	CN091	CN092	CN093	CN094	CN095	CN096	CN097	CN098	CN099	CN100	
year022	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.07    0.14    0.27    0.44    0.68    0.96    1.33    1.79    2.36    3.04    3.82    4.70    5.71    6.89    8.26    9.84   11.66   13.72   16.06   18.66   21.56   24.80   28.44   32.54   37.18   42.42   48.34   55.00   62.48   70.90   80.41   91.18  103.43  117.45  133.49  151.87  173.01  197.48  226.02  259.61  299.47  347.38  406.05  479.56  575.33  708.67    0.00
year023	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.06    0.15    0.27    0.42    0.61    0.84    1.09    1.38    1.73    2.15    2.65    3.24    3.91    4.69    5.60    6.63    7.80    9.11   10.56   12.14   13.90   15.84   18.01   20.43   23.10   26.06   29.33   32.92   36.85   41.14   45.81   50.97   56.69   63.10   70.31   78.40   87.46   97.65  109.12  122.07  136.70  153.31  172.22  193.89  218.89  248.03  282.31  323.15  372.56  433.71  512.45  621.02    0.00
year024	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.05    0.12    0.22    0.35    0.51    0.72    0.99    1.35    1.81    2.37    3.04    3.82    4.70    5.71    6.86    8.16    9.64   11.30   13.20   15.36   17.82   20.58   23.70   27.22   31.19   35.66   40.70   46.34   52.70   59.90   68.05   77.30   87.77   99.61  113.01  128.22  145.56  165.41  188.32  214.99  246.31  283.44  328.00  382.52  450.95  540.19  664.65    0.00
year025	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.05    0.15    0.30    0.49    0.73    1.01    1.33    1.70    2.10    2.54    3.02    3.53    4.09    4.67    5.30    5.96    6.67    7.44    8.28    9.20   10.23   11.36   12.62   14.02   15.56   17.26   19.15   21.23   23.52   26.04   28.83   31.88   35.22   38.85   42.82   47.21   52.10   57.56   63.61   70.34   77.84   86.20   95.57  106.07  117.88  131.15  146.12  162.99  182.06  203.66  228.25  256.51  289.33  327.93  374.00  430.04  500.04  591.05  718.49    0.00
year026	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.06    0.16    0.32    0.51    0.76    1.04    1.37    1.74    2.15    2.59    3.08    3.60    4.16    4.75    5.38    6.04    6.74    7.48    8.29    9.18   10.15   11.24   12.47   13.82   15.33   17.00   18.85   20.89   23.16   25.68   28.47   31.53   34.90   38.59   42.63   47.04   51.85   57.10   62.84   69.12   76.02   83.64   92.11  101.50  111.95  123.63  136.80  151.74  168.76  188.27  210.73  236.75  267.18  303.15  346.23  398.84  464.81  550.82  670.61    0.00
year027	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.07    0.20    0.41    0.72    1.16    1.76    2.55    3.54    4.75    6.23    8.00   10.10   12.57   15.45   18.77   22.61   27.03   32.06   37.73   44.09   51.20   59.12   67.93   77.66   88.38  100.18  113.16  127.45  143.20  160.55  179.70  200.87  224.34  250.41  279.54  312.25  349.14  391.02  438.92  494.16  558.57  634.86  727.26  843.08  997.07    0.00
year028	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.12    0.24    0.40    0.60    0.84    1.12    1.43    1.78    2.16    2.57    3.03    3.51    4.03    4.58    5.17    5.79    6.44    7.14    7.90    8.76    9.76   10.90   12.19   13.63   15.26   17.07   19.10   21.34   23.83   26.58   29.63   33.01   36.75   40.89   45.47   50.52   56.11   62.29   69.15   76.85   85.51   95.27  106.30  118.85  133.20  149.81  169.20  191.92  218.70  250.58  289.06  336.46  396.59  476.60  591.73    0.00
year029	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.08    0.19    0.34    0.53    0.77    1.07    1.44    1.89    2.40    2.99    3.67    4.44    5.31    6.27    7.32    8.49    9.78   11.21   12.79   14.55   16.51   18.74   21.25   24.04   27.14   30.56   34.33   38.49   43.05   48.05   53.52   59.51   66.06   73.21   81.00   89.51   98.82  109.03  120.24  132.60  146.25  161.34  178.07  196.70  217.51  240.83  267.10  296.92  331.05  370.40  416.20  470.24  535.27  615.57  718.25  858.13    0.00
year030	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.05    0.12    0.23    0.41    0.65    0.95    1.32    1.74    2.23    2.82    3.53    4.39    5.38    6.51    7.79    9.24   10.86   12.67   14.72   17.05   19.67   22.62   25.92   29.60   33.70   38.22   43.23   48.75   54.80   61.45   68.74   76.73   85.49   95.11  105.67  117.28  130.10  144.32  160.19  178.00  198.08  220.79  246.58  276.02  309.87  349.18  395.48  450.96  519.14  606.21  725.62    0.00
year031	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.08    0.22    0.46    0.79    1.20    1.70    2.29    2.95    3.70    4.54    5.48    6.54    7.70    8.96   10.32   11.82   13.47   15.27   17.22   19.35   21.65   24.13   26.82   29.72   32.81   36.14   39.69   43.49   47.55   51.92   56.64   61.73   67.21   73.09   79.43   86.26   93.63  101.59  110.25  119.71  130.06  141.41  153.86  167.57  182.67  199.35  217.88  238.52  261.60  287.49  316.63  349.61  387.17  430.42  480.93  540.88  613.71  705.88  830.85    0.00
